alloy_name,elastic_modulus,source,mixing_entropy,mixing_enthalpy,valence_electron,diff_in_atomic_radii,diff_electronegativity,omega,lambda,phases,density,hardness,yield_strength,mean_atomic_radius,std_atomic_radius,max_atomic_radius,min_atomic_radius,delta_r,mean_electronegativity,std_electronegativity,delta_chi,vec,mixing_entropy,num_elements,comp_Ti,comp_Zr,comp_Hf,comp_Nb,comp_Ta,comp_V,comp_Cr,comp_Mo,comp_W,comp_Fe,comp_Co,comp_Ni,comp_Cu,comp_Al,comp_Mn,comp_Si,comp_Sn
Al0.5CoCrCuFeNi,161.1,DOE/OSTI,14.698050513986,-4.81265823519199,8.27281,4.16922870704349,0.109326051956354,5.17054411597514,0.8455675283939771,,,,,21.28787878787879,3.715953494931307,23.272727272727273,13.0,10.272727272727273,0.30257575757575755,0.07151723802811374,0.2009090909090909,8.272727272727273,14.697168880613484,6,0.0,0.0,0.0,0.0,0.0,0.0,0.18181818181818182,0.0,0.0,0.18181818181818182,0.18181818181818182,0.18181818181818182,0.18181818181818182,0.09090909090909091,0.0,0.0,0.0
Al0.3CoCrFeNi,168.0,DOE/OSTI,12.8260629035067,-9.8746596850176,7.88378999999999,3.75761596212102,0.107517118794225,2.34618521449956,0.908382128753632,,,,,25.390697674418604,7.713114564810147,29.767441860465116,9.976744186046512,19.790697674418603,0.3610697674418604,0.1259879379909028,0.3318604651162791,7.883720930232558,12.82528552396791,5,0.0,0.0,0.0,0.0,0.0,0.0,0.23255813953488372,0.0,0.0,0.23255813953488372,0.23255813953488372,0.23255813953488372,0.0,0.06976744186046512,0.0,0.0,0.0
Al0.5CrCuFeNi2,172.1,DOE/OSTI,12.6023399855834,-5.80190116024959,8.45463,4.19964640402581,0.113093813029071,3.6616156540720697,0.7145386747978789,,,,,25.509090909090908,10.551659616437455,45.09090909090909,13.0,32.09090909090909,0.3641818181818182,0.17989675643325706,0.5481818181818182,8.454545454545455,12.601595913640617,5,0.0,0.0,0.0,0.0,0.0,0.0,0.18181818181818182,0.0,0.0,0.18181818181818182,0.0,0.36363636363636365,0.18181818181818182,0.09090909090909091,0.0,0.0,0.0
CoCrFeNi ,173.9,DOE/OSTI,11.5262926432879,-3.701,8.25,0.302115884766778,0.0966953980290685,5.82932673738833,126.2823110053,,,,,31.4375,0.369754986443726,32.0,31.0,1.0,0.455,0.024173849507267146,0.0625,8.25,11.52565131835077,4,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.25,0.25,0.25,0.0,0.0,0.0,0.0,0.0
NiCoCr,174.4,DOE/OSTI,9.13436260647717,-5.02345508494679,8.33325,0.16455908117517,0.111454466038826,3.4402698814012203,337.314134786592,,,,,41.888888888888886,0.5665577237325324,42.666666666666664,41.33333333333333,1.3333333333333357,0.6055555555555555,0.037151674438445546,0.08333333333333337,8.333333333333332,9.133862567986663,3,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.0
FeNi,174.4,DOE/OSTI,5.76314632164397,-1.5,9.0,0.201045436268604,0.0399999999999999,6.798591610766009,142.584135884374,,,,,62.5,0.5,63.0,62.0,1.0,0.935,0.019999999999999962,0.039999999999999925,9.0,5.762825659175385,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0
FeNiCo,173.8,DOE/OSTI,9.13436260647717,-1.0128686312124,8.99991,0.3276454648614,0.0329981514633773,15.9532296351619,85.0883154613009,,,,,41.666666666666664,0.2721655269759106,42.0,41.33333333333333,0.6666666666666714,0.6244444444444444,0.010999438818457384,0.026666666666666616,9.0,9.133862567986663,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.0
NiCo,171.0,DOE/OSTI,5.76314632164397,-0.218,9.5,0.200240288346015,0.015,46.2109163772186,143.73307673506798,,,,,62.25,0.25,62.5,62.0,0.5,0.9475,0.007500000000000007,0.015000000000000013,9.5,5.762825659175385,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0
AlCoCrCuFeNi,171.7,DOE/OSTI,14.897648787046,-10.3385246396908,7.83349,5.28118341032729,0.119083328668066,2.34842823014102,0.534140158305352,,,,,21.5,1.0715167512214396,23.833333333333332,20.666666666666664,3.166666666666668,0.29972222222222217,0.019847022975440283,0.04999999999999999,7.833333333333332,14.896688227162047,6,0.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.0,0.0,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0,0.0,0.0
Al0.5CoCrCuFeNi,173.3,DOE/OSTI,14.698050513986,-4.81265823519199,8.27281,4.16922870704349,0.109326051956354,5.17054411597514,0.8455675283939771,,,,,21.28787878787879,3.715953494931307,23.272727272727273,13.0,10.272727272727273,0.30257575757575755,0.07151723802811374,0.2009090909090909,8.272727272727273,14.697168880613484,6,0.0,0.0,0.0,0.0,0.0,0.0,0.18181818181818182,0.0,0.0,0.18181818181818182,0.18181818181818182,0.18181818181818182,0.18181818181818182,0.09090909090909091,0.0,0.0,0.0
